Relation,relation_text,document
Version_of,"B-Version of 2.4, B-Application of Strand 7 7",706.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel",707.0
Citation_of,"B-Citation of [49], B-Application of SurveyMonkey",707.0
Version_of,"B-Version of 3.3.2, B-Application of migrate",708.0
Citation_of,"B-Citation of [78], B-Application of migrate",708.0
URL_of,"B-URL of https://bitbucket.org/ipk_bit_team/bioescorte-suggestion, B-Application of LAILAPS - QSM",709.0
License_of,"B-License of GNU General Public License, B-Application of LAILAPS - QSM",709.0
Version_of,"B-Version of 2, B-License of GNU General Public License",709.0
Citation_of,"B-Citation of [28], B-Application of Mplus Statistics",710.0
Version_of,"B-Version of 7.1, B-Application of Mplus Statistics",710.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",710.0
Version_of,"B-Version of 22.0, B-Application of SPSS Statistics",710.0
Version_of,"B-Version of 18.0, B-Application of CFD",711.0
Developer_of,"B-Developer of SolidWorks, B-Application of CAD",711.0
Developer_of,"B-Developer of Ansys, B-Application of CFD",711.0
Version_of,"B-Version of 13, B-Application of Stata",712.0
Developer_of,"B-Developer of Stata Corporation, B-Application of Stata",712.0
Version_of,"B-Version of 18.0, B-Application of SPSS",713.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",713.0
Abbreviation_of,"B-Abbreviation of FIX, B-PlugIn of FMRIB ' s ICA - based X - noiseifier",714.0
Citation_of,"B-Citation of [ 26 , 27 ], B-PlugIn of FMRIB ' s ICA - based X - noiseifier",714.0
Citation_of,"B-Citation of [ 22 , 23 ], B-PlugIn of Psychophysics Toolbox",715.0
Version_of,"B-Version of 3.0.10, B-PlugIn of Psychophysics Toolbox",715.0
Version_of,"B-Version of 7.9, B-ProgrammingEnvironment of MATLAB",715.0
PlugIn_of,"B-PlugIn of Psychophysics Toolbox, B-ProgrammingEnvironment of MATLAB",715.0
Developer_of,"B-Developer of Apple Inc, B-OperatingSystem of OS - X",715.0
Developer_of,"B-Developer of MathWorks Inc Inc, B-ProgrammingEnvironment of MATLAB",715.0
Version_of,"B-Version of 10.6.8, B-OperatingSystem of OS - X",715.0
Version_of,"B-Version of 11.0, B-Application of Statistical Package for Social Sciences",716.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of Statistical Package for Social Sciences",716.0
Version_of,"B-Version of 12, B-Application of Stata",717.0
Citation_of,"B-Citation of [50], B-Application of Stata",717.0
Citation_of,"B-Citation of [57], B-Application of beast",718.0
Version_of,"B-Version of 1.5.3, B-Application of beast",718.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",719.0
Version_of,"B-Version of 15.0, B-Application of SPSS",719.0
Version_of,"B-Version of 4.5, B-Application of Network",720.0
URL_of,"B-URL of www.fluxus-engineering.com/sharenet.htm, B-Application of Network",720.0
URL_of,"B-URL of https://surfer.nmr.mgh.harvard.edu, B-Application of FreeSurfer",721.0
PlugIn_of,"B-PlugIn of MapIcosahedron, B-Application of AFNI",721.0
Citation_of,"B-Citation of [42,43], B-Application of AFNI",721.0
Citation_of,"B-Citation of [4], B-Application of MSAProbs",722.0
Developer_of,"B-Developer of SPSS SARL, B-Application of Statistical Package for the Social Sciences",723.0
Version_of,"B-Version of 19.0, B-Application of Statistical Package for the Social Sciences",723.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for the Social Sciences",723.0
Developer_of,"B-Developer of Addinsoft SARL, B-PlugIn of XLSTAT",723.0
Developer_of,"B-Developer of Accelrys Ltd ., B-Application of InsightII",724.0
Citation_of,"B-Citation of [57], B-Application of Autodock Vina",724.0
Release_of,"B-Release of 2005, B-Application of InsightII",724.0
Version_of,"B-Version of 7.0.1, B-Application of Image - Pro Plus",725.0
Developer_of,"B-Developer of MediaCybenetics, B-Application of Image - Pro Plus",725.0
Developer_of,"B-Developer of The Mathworks, B-ProgrammingEnvironment of Matlab",726.0
Release_of,"B-Release of 2015b, B-ProgrammingEnvironment of Matlab",726.0
PlugIn_of,"B-PlugIn of runmlwin, B-Application of Stata",727.0
Version_of,"B-Version of 2.25, B-Application of MLwiN",727.0
Version_of,"B-Version of 13, B-Application of Stata",727.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",728.0
URL_of,"B-URL of http://www.stata.com, B-Application of Stata",728.0
Version_of,"B-Version of 8, B-Application of Stata",728.0
Version_of,"B-Version of 2.3.1, B-Application of STRUCTURE",729.0
Citation_of,"B-Citation of [58], B-Application of STRUCTURE",729.0
Citation_of,"B-Citation of [5], B-Application of netcarto",730.0
Citation_of,"B-Citation of [42], B-Application of Pajek",730.0
Citation_of,"B-Citation of [51], B-PlugIn of ZSCORE 06",731.0
PlugIn_of,"B-PlugIn of ZSCORE 06, B-Application of Stata",731.0
Citation_of,"B-Citation of [57], B-PlugIn of PRTools",732.0
Developer_of,"B-Developer of MathWorks, B-ProgrammingEnvironment of Matlab",732.0
PlugIn_of,"B-PlugIn of PRTools, B-ProgrammingEnvironment of Matlab",732.0
Citation_of,"B-Citation of [45], B-Application of PLINK",733.0
Version_of,"B-Version of 1.03, B-Application of PLINK",733.0
Developer_of,"B-Developer of SAS Institute , Inc ., B-Application of SAS",734.0
Version_of,"B-Version of 9.2, B-Application of SAS",734.0
Version_of,"B-Version of 3.1.2, B-ProgrammingEnvironment of R",735.0
Developer_of,"B-Developer of The R Foundation for Statistical Computing, B-ProgrammingEnvironment of R",735.0
Developer_of,"B-Developer of Agilent, B-Application of MassHunter Qualitative Analysis",736.0
Version_of,"B-Version of 5.0, B-Application of MassHunter Qualitative Analysis",736.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS Statistics",737.0
Version_of,"B-Version of 22, B-Application of SPSS Statistics",737.0
Version_of,"B-Version of 2.11.1, B-ProgrammingEnvironment of R",738.0
Developer_of,"B-Developer of R Development Core Team, B-ProgrammingEnvironment of R",738.0
Release_of,"B-Release of 2010, B-ProgrammingEnvironment of R",738.0
PlugIn_of,"B-PlugIn of CGBayesNets, B-ProgrammingEnvironment of MATLAB",739.0
URL_of,"B-URL of http://www.cgbayesnets.com, B-PlugIn of CGBayesNets",739.0
Release_of,"B-Release of 2008, B-Application of Visual Studio",740.0
URL_of,"B-URL of http://www.pymvpa.org, B-PlugIn of PyMVPA",741.0
Citation_of,"B-Citation of [45], B-PlugIn of PyMVPA",741.0
no_relation,"O of O, O of O",742.0
Version_of,"B-Version of 20, B-Application of SPSS",743.0
Developer_of,"B-Developer of IBM Corporation, B-Application of SPSS",743.0
URL_of,"B-URL of http://www.apache.org/licenses/LICENSE-2.0, B-License of Apache",744.0
License_of,"B-License of Apache, B-Application of PathVisio",744.0
Version_of,"B-Version of 2.0, B-License of Apache",744.0
Version_of,"B-Version of 18.0, B-Application of SPSS",745.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",745.0
Version_of,"B-Version of 22, B-Application of Statistical Package for the Social Sciences",746.0
Developer_of,"B-Developer of IBM Corp, B-Application of Statistical Package for the Social Sciences",746.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for the Social Sciences",746.0
Specification_of,"B-Application of SPSS, B-Application of Statistical Package for the Social Sciences",747.0
Developer_of,"B-Developer of IBM, B-Application of Statistical Package for the Social Sciences",747.0
Version_of,"B-Version of 22, B-Application of SPSS",747.0
Citation_of,"B-Citation of [73], B-Application of BLAST",748.0
Version_of,"B-Version of 17.0, B-Application of SPSS",749.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",749.0
Version_of,"B-Version of XP, B-OperatingSystem of Windows",749.0
PlugIn_of,"B-PlugIn of Mice 1, B-ProgrammingEnvironment of R",750.0
Version_of,"B-Version of 3.3.0, B-ProgrammingEnvironment of R",750.0
PlugIn_of,"B-PlugIn of Survival 1, B-ProgrammingEnvironment of R",750.0
PlugIn_of,"B-PlugIn of lattice 1, B-ProgrammingEnvironment of R",750.0
PlugIn_of,"B-PlugIn of mitml 1, B-ProgrammingEnvironment of R",750.0
PlugIn_of,"B-PlugIn of survC 1, B-ProgrammingEnvironment of R",750.0
Version_of,"B-Version of 17.0, B-Application of SPSS Statistics",751.0
Version_of,"B-Version of 20.0, B-Application of Statistical Package for Social Sciences",752.0
Developer_of,"B-Developer of SPSS, B-Application of Statistical Package for Social Sciences",752.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Amos",753.0
Version_of,"B-Version of 21.0, B-Application of SPSS Amos",753.0
no_relation,"O of O, O of O",754.0
no_relation,"O of O, O of O",755.0
Citation_of,"B-Citation of [39], B-Application of WinEpiscope",756.0
Version_of,"B-Version of 2.0, B-Application of WinEpiscope",756.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",757.0
Version_of,"B-Version of 19, B-Application of SPSS Statistics",757.0
Specification_of,"B-Application of SPSS Statistics, B-Application of SPSS Statistics",757.0
Version_of,"B-Version of 19.0.0, B-Application of SPSS Statistics",757.0
Developer_of,"B-Developer of SPSS , Inc ., B-Application of SPSS",758.0
Version_of,"B-Version of 19.0, B-Application of SPSS",758.0
no_relation,"O of O, O of O",759.0
no_relation,"O of O, O of O",760.0
Citation_of,"B-Citation of [21], B-Application of SAS",761.0
Version_of,"B-Version of 9.2, B-Application of SAS",761.0
PlugIn_of,"B-PlugIn of lmer, B-ProgrammingEnvironment of R",762.0
Citation_of,"B-Citation of [59], B-PlugIn of adjustedRandIndex",762.0
Citation_of,"B-Citation of [58], B-PlugIn of adjustedRandIndex",762.0
PlugIn_of,"B-PlugIn of adjustedRandIndex, B-ProgrammingEnvironment of R",762.0
Citation_of,"B-Citation of [60], B-PlugIn of lmer",762.0
Version_of,"B-Version of 3.11, B-Application of Arlequin",763.0
Version_of,"B-Version of 2.3.3, B-Application of Structure",763.0
Specification_of,"B-Application of SPSS, B-Application of statistical package for social sciences",764.0
Version_of,"B-Version of 12, B-Application of SPSS",764.0
Version_of,"B-Version of 14.0J, B-Application of SPSS",765.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",765.0
URL_of,"B-URL of http://www.ensembl.org/index.html, B-Application of BioMart",766.0
Version_of,"B-Version of 7.6.3, B-Application of Quicktime",767.0
URL_of,"B-URL of https://fiji.sc/, B-PlugIn of Fiji",767.0
Developer_of,"B-Developer of Adobe, B-Application of Photoshop",767.0
Extension_of,"B-Extension of CC, B-Application of Photoshop",767.0
Version_of,"B-Version of 19.1.8, B-Application of Photoshop",767.0
Developer_of,"B-Developer of Apple, B-Application of Quicktime",767.0
Extension_of,"B-Extension of Pro, B-Application of Quicktime",767.0
Version_of,"B-Version of 16, B-Application of SPSS",768.0
Developer_of,"B-Developer of IBM Inc, B-Application of SPSS Statistics",769.0
Version_of,"B-Version of 20, B-Application of SPSS Statistics",769.0
Developer_of,"B-Developer of SPSS Inc, B-Application of SPSS Statistics",769.0
Release_of,"B-Release of 2011, B-Application of SPSS Statistics",769.0
Extension_of,"B-Extension of SE, B-Application of Stata",770.0
Version_of,"B-Version of 11.0, B-Application of Stata",770.0
Developer_of,"B-Developer of Stata Corporation, B-Application of Stata",770.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel",771.0
Release_of,"B-Release of 2003, B-Application of Excel",771.0
Version_of,"B-Version of 14, B-Application of STATA",772.0
Citation_of,"B-Citation of [46], B-Application of STATA",772.0
Developer_of,"B-Developer of SAS Institute , Inc ., B-Application of SAS",773.0
Version_of,"B-Version of 9.3, B-Application of SAS",773.0
Citation_of,"B-Citation of [35], B-PlugIn of Biopython",774.0
URL_of,"B-URL of http://www.reportlab.com/opensource/, B-PlugIn of Reportlab",774.0
URL_of,"B-URL of http://matplotlib.org, B-PlugIn of matplotlib",774.0
Developer_of,"B-Developer of Adobe, B-Application of Illustrator",775.0
Extension_of,"B-Extension of CC, B-Application of Illustrator",775.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",775.0
Version_of,"B-Version of 22.1, B-Application of Illustrator",775.0
Version_of,"B-Version of 8.2.1, B-Application of Prism",775.0
Version_of,"B-Version of 5.2, B-Application of Qt",776.0
Version_of,"B-Version of 3.0, B-License of GNU GPL",776.0
Version_of,"B-Version of 2.7, B-ProgrammingEnvironment of Python",776.0
Citation_of,"B-Citation of [32,33], B-Application of Talairach Daemon pickatlas",777.0
Citation_of,"B-Citation of [32,33], B-Application of WFU pickatlas",777.0
Developer_of,"B-Developer of Statacorp, B-Application of Stata",778.0
Version_of,"B-Version of 12.0, B-Application of Stata",778.0
Developer_of,"B-Developer of SAS Institute , Inc ., B-Application of SAS",779.0
Specification_of,"B-Application of SAS, B-Application of SAS",779.0
Version_of,"B-Version of 9.1, B-Application of SAS",779.0
Extension_of,"B-Extension of MP, B-Application of STATA",780.0
Version_of,"B-Version of 11.2, B-Application of STATA",780.0
Version_of,"B-Version of 12.1, B-Application of Stata",781.0
Citation_of,"B-Citation of [44], B-Application of Stata",781.0
Version_of,"B-Version of 32.0, B-Application of Trimmomatic",782.0
Citation_of,"B-Citation of [52], B-Application of Trimmomatic",782.0
no_relation,"O of O, O of O",783.0
Citation_of,"B-Citation of [47], B-Application of Calib",784.0
Version_of,"B-Version of 6, B-Application of Calib",784.0
Citation_of,"B-Citation of [14], B-Application of GRAB",785.0
Developer_of,"B-Developer of MathWorks, B-ProgrammingEnvironment of MatLab",786.0
Version_of,"B-Version of 7.2, B-ProgrammingEnvironment of MatLab",786.0
Version_of,"B-Version of 5, B-Application of SPM",786.0
Developer_of,"B-Developer of Wellcome Department of Cognitive Neurology, B-Application of SPM",786.0
no_relation,"O of O, O of O",787.0
Developer_of,"B-Developer of Brain Innovation B.V ., B-Application of BrainVoyager Statistics",788.0
Version_of,"B-Version of 2.3, B-Application of BrainVoyager Statistics",788.0
Extension_of,"B-Extension of QX, B-Application of BrainVoyager Statistics",788.0
Version_of,"B-Version of 2.0, B-Application of Kubios HRV",789.0
Release_of,"B-Release of 2008, B-Application of Kubios HRV",789.0
Developer_of,"B-Developer of biosignal analysis and medical imaging group, B-Application of Kubios HRV",789.0
URL_of,"B-URL of https://github.com/CompEvol/beast2, B-Application of BEAST",790.0
Version_of,"B-Version of 2, B-Application of BEAST",790.0
Developer_of,"B-Developer of Microsoft Corporation, B-Application of Excel",791.0
Release_of,"B-Release of 2010, B-Application of Excel",791.0
Version_of,"B-Version of 9.0, B-Application of Tableau",791.0
Developer_of,"B-Developer of Tableau Software Inc . Corporation, B-Application of Tableau",791.0
Specification_of,"B-Application of Tableau, B-Application of Tableau",791.0
Specification_of,"B-Application of Excel, B-Application of Excel",791.0
Version_of,"B-Version of 14.4.2, B-Application of Excel",791.0
Citation_of,"B-Citation of [46], B-PlugIn of SomaticSignatures",792.0
PlugIn_of,"B-PlugIn of MutationalPatterns, B-ProgrammingEnvironment of R",792.0
Citation_of,"B-Citation of [47], B-PlugIn of MutationalPatterns",792.0
PlugIn_of,"B-PlugIn of SomaticSignatures, B-ProgrammingEnvironment of R",792.0
Version_of,"B-Version of 10.1, B-Application of STATA",793.0
Developer_of,"B-Developer of Stata Corp, B-Application of STATA",793.0
Citation_of,"B-Citation of [16], B-Application of Stata",794.0
Version_of,"B-Version of 11, B-Application of Stata",794.0
Version_of,"B-Version of 0.11.2, B-Application of FastQC",795.0
Citation_of,"B-Citation of [89], B-Application of FastQC",795.0
Version_of,"B-Version of 9.2, B-Application of Stata",796.0
Developer_of,"B-Developer of Stata Corporation, B-Application of Stata",796.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",797.0
Version_of,"B-Version of 5.0d, B-Application of Prism",797.0
Version_of,"B-Version of 19.0.1, B-Application of SPSS",797.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",797.0
Version_of,"B-Version of 14, B-Application of STATA",798.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",798.0
Version_of,"B-Version of 10.0, B-Application of SUDAAN",799.0
Citation_of,"B-Citation of [30], B-Application of SAS",799.0
Version_of,"B-Version of 9.2, B-Application of SAS",799.0
Citation_of,"B-Citation of [31], B-Application of SUDAAN",799.0
Developer_of,"B-Developer of StataCorp ., B-Application of STATA",800.0
Version_of,"B-Version of 12.1, B-Application of STATA",800.0
Citation_of,"B-Citation of [38], B-ProgrammingEnvironment of MATLAB",801.0
Release_of,"B-Release of R 2016b, B-ProgrammingEnvironment of MATLAB",801.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS",802.0
Version_of,"B-Version of 22.0, B-Application of SPSS",802.0
Release_of,"B-Release of 2013, B-Application of SPSS",802.0
Citation_of,"B-Citation of [59], B-Application of FAP",803.0
Version_of,"B-Version of 4.0 ., B-Application of GeneMapper",803.0
Version_of,"B-Version of 3.6, B-Application of FAP",803.0
AlternativeName_of,"B-AlternativeName of Family Assignment Program, B-Application of FAP",803.0
PlugIn_of,"B-PlugIn of MSstats, B-ProgrammingEnvironment of R",804.0
Citation_of,"B-Citation of [21-23], B-PlugIn of MSstats",804.0
Developer_of,"B-Developer of R Development Core Team, B-ProgrammingEnvironment of R",805.0
Specification_of,"B-ProgrammingEnvironment of R, B-ProgrammingEnvironment of R",805.0
Version_of,"B-Version of 2.11.1, B-ProgrammingEnvironment of R",805.0
Version_of,"B-Version of 18, B-Application of PASW Statistics",805.0
Developer_of,"B-Developer of SPSS Inc . Development Core Team, B-Application of PASW Statistics",805.0
Release_of,"B-Release of 2009, B-Application of PASW Statistics",805.0
no_relation,"O of O, O of O",806.0
Developer_of,"B-Developer of UN - FAO, B-Application of Land Cover Classification System",807.0
Citation_of,"B-Citation of [21], B-Application of Land Cover Classification System",807.0
Version_of,"B-Version of 3.4.0, B-ProgrammingEnvironment of R",808.0
Version_of,"B-Version of 15.0, B-Application of Stata",808.0
Version_of,"B-Version of 8.0, B-Application of Chenomx NMR Suite",809.0
Developer_of,"B-Developer of Chenomx Inc ., B-Application of Chenomx NMR Suite",809.0
Specification_of,"B-ProgrammingEnvironment of Matlab, B-ProgrammingEnvironment of Matlab",810.0
Developer_of,"B-Developer of Mathworks, B-ProgrammingEnvironment of Matlab",810.0
Developer_of,"B-Developer of Mathworks, B-PlugIn of Image Processing Toolbox",810.0
PlugIn_of,"B-PlugIn of Image Processing Toolbox, B-ProgrammingEnvironment of Matlab",810.0
Release_of,"B-Release of v 2011b, B-ProgrammingEnvironment of Matlab",810.0
Version_of,"B-Version of 0.1.11, B-Application of vcftools",811.0
Citation_of,"B-Citation of [75], B-Application of vcftools",811.0
Developer_of,"B-Developer of SPSS , Inc . LP, B-Application of SPSS",812.0
Developer_of,"B-Developer of StataCorp LP, B-Application of Stata",812.0
Version_of,"B-Version of 10, B-Application of Stata",812.0
Version_of,"B-Version of 15.0, B-Application of SPSS",812.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",813.0
Version_of,"B-Version of 12.1, B-Application of Stata",813.0
Citation_of,"B-Citation of [78], B-Application of Stan",814.0
Version_of,"B-Version of 2.3.0, B-Application of Stan",814.0
Citation_of,"B-Citation of [62], B-Application of SAINT",815.0
Citation_of,"B-Citation of [31], B-Application of EEGLAB",816.0
Developer_of,"B-Developer of Mathworks, B-ProgrammingEnvironment of Matlab",816.0
Developer_of,"B-Developer of The MathWorks Inc ., B-ProgrammingEnvironment of Matlab",817.0
Release_of,"B-Release of R 2014a, B-ProgrammingEnvironment of Matlab",817.0
Version_of,"B-Version of 3.0, B-Application of Cluster",818.0
URL_of,"B-URL of http://jtreeview.sourceforge.net, B-Application of TreeView",818.0
Citation_of,"B-Citation of [65], B-Application of PIVOT",818.0
Citation_of,"B-Citation of [70], B-Application of RuleBender",819.0
License_of,"B-License of GNU GENERAL PUBLIC LICENSE, B-SoftwareCoreference of code",820.0
URL_of,"B-URL of https://github.com/batxes/4Cin, B-SoftwareCoreference of code",820.0
Citation_of,"B-Citation of [40], B-ProgrammingEnvironment of R",821.0
Version_of,"B-Version of 22, B-Application of SPSS Statistics",821.0
Citation_of,"B-Citation of [39], B-Application of SPSS Statistics",821.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",821.0
URL_of,"B-URL of https://bioconductor.org/packages/release/bioc/html/GeneOverlap.html, B-PlugIn of GeneOverlap",822.0
PlugIn_of,"B-PlugIn of GeneOverlap, B-ProgrammingEnvironment of R",822.0
Developer_of,"B-Developer of IBM States Census Bureau, B-Application of SPSS Statistics",823.0
Specification_of,"B-Application of SPSS Statistics, B-Application of SPSS Statistics",823.0
Developer_of,"B-Developer of United States Census Bureau, B-Application of CSPRO",823.0
Version_of,"B-Version of 23, B-Application of SPSS Statistics",823.0
Version_of,"B-Version of 6.1, B-Application of CSPRO",823.0
Version_of,"B-Version of 2.1, B-Application of Alogps",824.0
URL_of,"B-URL of www.vcclab.org, B-Application of Alogps",824.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",825.0
Developer_of,"B-Developer of MS, B-Application of Excel Statistics",825.0
Version_of,"B-Version of 22, B-Application of SPSS Statistics",825.0
Version_of,"B-Version of 12.0, B-Application of STATA",826.0
Developer_of,"B-Developer of Statacorp, B-Application of STATA",826.0
Version_of,"B-Version of 18.0, B-Application of statistical package for social science",827.0
Version_of,"B-Version of 18.0, B-Application of statistical package for social science",827.0
Specification_of,"B-Application of SPSS, B-Application of statistical package for social science",827.0
Citation_of,"B-Citation of [31], B-ProgrammingEnvironment of R",828.0
URL_of,"B-URL of http://www.nltk.org/, B-ProgrammingEnvironment of Python",829.0
PlugIn_of,"B-PlugIn of NLTK, B-ProgrammingEnvironment of Python",829.0
URL_of,"B-URL of http://sourceforge.net/projects/famseq/, B-Application of FamSeq",830.0
License_of,"B-License of GPL, B-Application of FamSeq",830.0
Version_of,"B-Version of 3, B-License of GPL",830.0
URL_of,"B-URL of http://bioinformatics.mdanderson.org/main/FamSeq, B-Application of FamSeq",830.0
Version_of,"B-Version of 2, B-Application of V - Phaser - Phaser",831.0
Citation_of,"B-Citation of [12], B-Application of V - Phaser",831.0
Version_of,"B-Version of 6.0, B-Application of Geneious",832.0
Extension_of,"B-Extension of Pro, B-Application of Geneious",832.0
Developer_of,"B-Developer of Biomatters Ltd, B-Application of Geneious",832.0
Citation_of,"B-Citation of [73], B-PlugIn of car",833.0
Citation_of,"B-Citation of [72], B-PlugIn of lme 4",833.0
Developer_of,"B-Developer of StatSoft, B-Application of Statistica",834.0
Version_of,"B-Version of 10.0, B-Application of Statistica",834.0
Developer_of,"B-Developer of Biogazelle, B-Application of qBase",835.0
Version_of,"B-Version of 2.0, B-Application of qBase",835.0
Version_of,"B-Version of 9, B-Application of pCLAMP",836.0
Developer_of,"B-Developer of Axon Instruments, B-Application of pCLAMP",836.0
Version_of,"B-Version of 15.0, B-Application of SPSS",837.0
Version_of,"B-Version of 17.0.0, B-Application of SPSS statistics",838.0
Release_of,"B-Release of Aug 23 . 2008, B-Application of SPSS statistics",838.0
Developer_of,"B-Developer of SPSS Inc, B-Application of SPSS statistics",838.0
Citation_of,"B-Citation of [32], B-PlugIn of Fieldmap",839.0
PlugIn_of,"B-PlugIn of Fieldmap, B-Application of SPM",839.0
Version_of,"B-Version of 8, B-Application of SPM",839.0
Developer_of,"B-Developer of Microsoft Corporation, B-Application of Office Excel",840.0
Release_of,"B-Release of 2003, B-Application of Office Excel",840.0
Developer_of,"B-Developer of Microsoft Corporation, B-Application of Office Excel",840.0
Version_of,"B-Version of XP, B-OperatingSystem of Windows",841.0
URL_of,"B-URL of http://www4a.biotec.or.th/GI/tools/metasel, B-SoftwareCoreference of software",841.0
Version_of,"B-Version of 7, B-OperatingSystem of Windows",841.0
Version_of,"B-Version of 2.9.5.73, B-Application of Iox",842.0
Developer_of,"B-Developer of Emka Technologies, B-Application of Iox",842.0
Citation_of,"B-Citation of [18], B-PlugIn of COBRApy",843.0
Version_of,"B-Version of 2.2.3, B-Application of MICRO - CHECKER",844.0
Citation_of,"B-Citation of [56], B-Application of FREENA - CHECKER",844.0
Citation_of,"B-Citation of [57], B-Application of MICRO - CHECKER",844.0
Version_of,"B-Version of 11, B-Application of SPSS",845.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",845.0
Version_of,"B-Version of 3.3.1, B-Application of Bioworks",846.0
Developer_of,"B-Developer of Thermo Scientific, B-Application of Bioworks",846.0
Abbreviation_of,"B-Abbreviation of SAMSCo, B-Application of Statistical Analysis of Minimum cost path based Structural Connectivity",847.0
Citation_of,"B-Citation of [4], B-Application of Statistical Analysis of Minimum cost path based Structural Connectivity",847.0
Version_of,"B-Version of 19.0, B-Application of SPSS",848.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",848.0
URL_of,"B-URL of https://shop.acer.edu.au/group/CON3, B-Application of ConQuest",849.0
URL_of,"B-URL of cran.r-project.org/package=ltm, B-PlugIn of ltm",849.0
URL_of,"B-URL of cran.r-project.org/package=eRm, B-PlugIn of eRM",849.0
URL_of,"B-URL of www.rummlab.com.au, B-Application of RUMM",849.0
Version_of,"B-Version of 11, B-Application of STATA",850.0
Version_of,"B-Version of 11, B-Application of Stata",850.0
Specification_of,"B-Application of Stata, B-Application of STATA",850.0
Developer_of,"B-Developer of StataCorp LP, B-Application of Stata",850.0
Release_of,"B-Release of 2009, B-Application of STATA",850.0
Developer_of,"B-Developer of StataCorp . LP, B-Application of STATA",850.0
License_of,"B-License of LGPL, B-SoftwareCoreference of software packages",851.0
URL_of,"B-URL of http://code.google.com/p/biographer/, B-SoftwareCoreference of software packages",851.0
Developer_of,"B-Developer of SMI, B-Application of Experiment Center X",852.0
Developer_of,"B-Developer of SMI, B-Application of iView X",852.0
Version_of,"B-Version of 18.0, B-Application of SPSS",853.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS",853.0
Citation_of,"B-Citation of [28], B-Application of STATA",854.0
Release_of,"B-Release of 2007, B-Application of Excel",854.0
Version_of,"B-Version of 12.0, B-Application of STATA",854.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel",854.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",855.0
Version_of,"B-Version of 20.0, B-Application of SPSS",855.0
Developer_of,"B-Developer of Microsoft, B-Application of Office Excel",856.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism Excel",856.0
Version_of,"B-Version of 5, B-Application of Prism Excel",856.0
Version_of,"B-Version of 6, B-Application of Prism",857.0
Developer_of,"B-Developer of GraphPad Software Inc ., B-Application of Prism",857.0
Developer_of,"B-Developer of GraphPad Software Inc ., B-Application of Prism",857.0
no_relation,"O of O, O of O",858.0
URL_of,"B-URL of http://www.baseclear.com/bioinformatics-tools/, B-Application of SSPACE - LongRead",859.0
License_of,"B-License of BaseTools, B-Application of SSPACE - LongRead",859.0
Abbreviation_of,"B-Abbreviation of PBAP, B-Application of Pedigree - Based Analysis Pipeline",860.0
Citation_of,"B-Citation of [68], B-Application of Pedigree - Based Analysis Pipeline",860.0
Citation_of,"B-Citation of [53], B-PlugIn of PROCESS",861.0
Developer_of,"B-Developer of Hayes, B-PlugIn of PROCESS",861.0
Developer_of,"B-Developer of Hayes, B-PlugIn of PROCESS",861.0
PlugIn_of,"B-PlugIn of PROCESS, B-Application of SPSS",861.0
PlugIn_of,"B-PlugIn of PROCESS, B-Application of SPSS",861.0
Version_of,"B-Version of 2.16, B-PlugIn of PROCESS",861.0
URL_of,"B-URL of http://neurobs.com, B-Application of Presentation",862.0
Version_of,"B-Version of 14.1, B-Application of Presentation",862.0
Version_of,"B-Version of 9.3, B-Application of SAS",863.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of SAS",863.0
no_relation,"O of O, O of O",864.0
Developer_of,"B-Developer of Noesis, B-Application of Visilog",865.0
Version_of,"B-Version of 6.3, B-Application of Visilog",865.0
PlugIn_of,"B-PlugIn of AlphaSim, B-Application of REST",866.0
URL_of,"B-URL of http://www.restfmri.net/forum/REST_V1.8, B-Application of REST",866.0
